,CustomerID,Recency,Frequency,Monetary,Cluster
0,12347.0,1,7,4310.0,Occasional
1,12348.0,74,4,1797.24,Occasional
2,12349.0,18,1,1757.55,Occasional
3,12350.0,309,1,334.4,At-Risk
4,12352.0,35,8,2506.04,Occasional
5,12353.0,203,1,89.0,At-Risk
6,12354.0,231,1,1079.4,At-Risk
7,12355.0,213,1,459.4,At-Risk
8,12356.0,22,3,2811.43,Occasional
9,12357.0,32,1,6207.67,Occasional
10,12358.0,1,2,1168.06,Occasional
11,12359.0,57,4,6372.58,Occasional
12,12360.0,51,3,2662.06,Occasional
13,12361.0,286,1,189.9,At-Risk
14,12362.0,2,10,5226.23,Regular
15,12363.0,109,2,552.0,Occasional
16,12364.0,7,4,1313.1,Occasional
17,12365.0,290,2,641.38,At-Risk
18,12367.0,3,1,168.9,Occasional
19,12370.0,50,4,3545.69,Occasional
20,12371.0,44,2,1887.96,Occasional
21,12372.0,71,3,1298.04,Occasional
22,12373.0,310,1,364.6,At-Risk
23,12374.0,24,1,742.93,Occasional
24,12375.0,10,2,457.5,Occasional
25,12377.0,314,2,1628.12,At-Risk
26,12378.0,129,1,4008.62,Occasional
27,12379.0,81,2,852.24,Occasional
28,12380.0,21,4,2724.81,Occasional
29,12381.0,4,5,1845.31,Occasional
30,12383.0,184,5,1850.56,At-Risk
31,12384.0,28,2,585.27,Occasional
32,12386.0,337,2,401.9,At-Risk
33,12388.0,15,6,2780.66,Occasional
34,12390.0,79,1,549.84,Occasional
35,12391.0,21,1,460.89,Occasional
36,12393.0,71,4,1582.6,Occasional
37,12394.0,63,2,1272.48,Occasional
38,12395.0,18,12,3018.63,Regular
39,12397.0,35,2,2409.9,Occasional
40,12398.0,45,1,1635.6599999999999,Occasional
41,12399.0,118,4,1108.65,Occasional
42,12401.0,302,1,84.3,At-Risk
43,12402.0,322,1,225.6,At-Risk
44,12403.0,49,1,427.7,Occasional
45,12405.0,148,1,1710.3899999999999,At-Risk
46,12406.0,21,2,3415.2999999999997,Occasional
47,12407.0,49,5,1708.12,Occasional
48,12408.0,32,5,2888.55,Occasional
49,12409.0,78,3,11072.67,Occasional
50,12410.0,308,2,693.33,At-Risk
51,12412.0,74,3,1226.8799999999999,Occasional
52,12413.0,66,3,758.1,Occasional
53,12414.0,216,3,562.41,At-Risk
54,12415.0,23,21,124914.53,Loyal
55,12417.0,2,9,3649.1,Occasional
56,12418.0,112,1,668.58,Occasional
57,12420.0,63,1,600.39,Occasional
58,12421.0,15,4,807.04,Occasional
59,12422.0,95,3,803.56,Occasional
60,12423.0,0,8,1859.31,Occasional
61,12424.0,162,2,1760.96,At-Risk
62,12425.0,77,1,777.2,Occasional
63,12426.0,194,1,582.73,At-Risk
64,12427.0,21,3,825.8000000000001,Occasional
65,12428.0,25,9,7956.46,Regular
66,12429.0,8,4,3750.4,Occasional
67,12430.0,42,1,256.4,Occasional
68,12431.0,35,15,6487.45,Regular
69,12432.0,42,5,5059.32,Occasional
70,12433.0,0,7,13375.87,Regular
71,12434.0,84,2,806.14,Occasional
72,12435.0,79,2,7829.889999999999,Occasional
73,12436.0,99,1,509.01,Occasional
74,12437.0,1,18,4951.41,Regular
75,12438.0,13,2,2906.85,Occasional
76,12441.0,366,1,173.55,At-Risk
